what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268142735138
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268142771816
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268142773561
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142773995
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268142826488
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268142839193
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142842183
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268142848893
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142855470
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268142861524
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268142867321
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1268142869095
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268142871101
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268142874664
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1268142882009
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142882029
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1268142883049
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268142885567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268142886953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268142887341
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142887910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142896330
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268142923174
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268142950075
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143003784
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143019838
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143060323
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268143067651
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268143082474
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268143085845
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1268143088628
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268143091677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143153261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143153850
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143154587
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143155600
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143156200
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143157207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143158312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143158995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143160070
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143218434
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268143220696
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268143230150
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268143235329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143252762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143253348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143254897
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268143265547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268143266900
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268143269942
