what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542300857
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1267542302770
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542302831
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542327491
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1267542498858
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1267542498858
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542498905
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1267542504237
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267542504302
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267542504472
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1267542504609
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1267542505130
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1267542507329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542511818
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1267542534290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542534304
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267542535536
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.scroll.lineUp",1267542545418
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1267542547574
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1267542547622
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1267542547681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542547850
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542550539
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267542551507
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542556846
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267542606183
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1267542608094
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1267542608289
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1267542609959
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1267542609992
