what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1267549960917
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1267550015219
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550016156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550016670
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550017658
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550059983
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550061341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550062180
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1267550063979
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550092985
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550096924
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550101562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550206751
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1267550208264
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1267550209533
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1267550212887
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.scroll.lineDown",1267550214235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550223589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550264528
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1267550274032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550274111
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267550278415
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1267550384452
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1267550384809
