what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050611039
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050612981
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050618824
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050619926
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050625932
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050627856
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050638596
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1268050646098
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268050649505
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1268050651329
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050652014
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050653687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050660771
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050663729
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050664815
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050665223
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050666781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050668239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050668503
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050670132
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050671063
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050671371
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050672614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050673342
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050673675
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268050675195
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050676157
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050677607
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050680662
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050683224
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050686993
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1268050693060
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050693807
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050697077
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1268050697199
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268050700896
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050703728
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050704545
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268050710158
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050712515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050719216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050724224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050731634
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1268050738787
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1268050744331
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1268050750333
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1268050750764
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268050751811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268054388979
