what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077174532
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1268077176338
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268077191345
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1268077192165
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1268077203632
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1268077213115
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268077213704
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268077237850
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268077251819
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268077252995
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1268077254516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077267155
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077296627
activated,editor,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.internal.editor.AntEditor",1268077297508
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1268077299967
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077311186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077311414
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077313837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077314904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077316154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077316691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077317015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077468871
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077469623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077505445
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268077505525
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077508136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077788140
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268077793220
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077803415
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077818818
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268077818958
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268077819584
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077826637
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077827238
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1268077830357
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077832074
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077882345
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268077885619
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268077909120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077911613
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077928272
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268077928406
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268077938532
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077939801
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268077940155
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268077940825
