what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268145974908
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146039822
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146040643
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146400957
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146414979
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146433375
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268146433571
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268146433585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146440167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146441028
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146441517
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146442349
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146446241
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146508036
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146529317
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146530072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146531090
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146535859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268146563854
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1268146604937
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1268146606241
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268146610101
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146611728
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268146612105
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268146614222
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268146636087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268146677869
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268146692538
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1268146694751
